I found out that I'm getting a bonus for having the top rating in my district!</s>		<pad> That's awesome! What district is it in?</s>		Congratulations! That is amazing! You must be a hard worker. What do you do?</s>
I've been out of work, and my dads been helping me financially.</s> I am sorry that you are out of work. Have you had any job interviews? It is good that your father is able to help you during this time.</s> No, I am filing for disability. Theres no way I can ever repay him</s>		<pad> I hope he is able to help you out.</s>		Well, I am glad you will hopefully get some disability income. It sounds like your dad isn't the type who expects to be repayed. He sounds like a great parent.</s>
The airport was completely empty the other day.</s>		<pad> I'm sorry to hear that.</s>		that is awesome, i hope that happens to me on my next trip, where where you going</s>
My wife flew home to see family. It is very quite at home now.</s>		<pad> That's great. I hope you have a good time.</s>		I definitely relate to that feeling, why can't they take us with them!?</s>
's all too common these days. |||| NEW CONVERSATION ||| I recently went to a dinner where we were served something unconventional to say the least.</s>		<pad> That's a good idea. I'm glad you enjoyed it.</s>		Oh really? What was it they served?</s>
We are planning on going on a cruise in December!</s>		<pad> I'm sure you will enjoy it!</s>		How ever so exciting! is this your first cruise?</s>
I am terrified that my wife is going to leave me</s> Why would she leave you?</s> Because she is talking to other men behind my back</s>		<pad> That is a very scary thought.</s>		oh no, i'm so sorry to hear that. I know your heart is broken. Did you try to talk to her about it?</s>
I found an injured bird in my yard today, it was only a baby to!</s>		<pad> I am sorry to hear that. Did you get it to come home?</s>		Did you help it?</s>
I came home yesterday and my dog had pooped all over the floor. He hasnt done that in ages.</s>		<pad> That's terrible. I hope you can get him to stop.</s>		Oh yuck! I'm sorry that that happened. What kind of dog is he? Is he sick?</s>
My wife cried quite a lot at her mothers funeral. They had a very close bond.</s>		<pad> That's great. I hope you have a wonderful memory.</s>		am sorry to hear that. what happened to the mother</s>
Listening to old artists like they Might Be Giants is my jam</s> Wow I haven't thought of them in years. Sometimes it is good to have bands you can always go back to</s> Haha, I didn't grow up with them but it's like discovering a gold mine that no one else seems to listen to</s>		<pad> I'm glad you found it.</s>		True. I have favorite bands to that I consider to be musical comfort food</s>
"My grandpa is coming to visit!</s>		<pad> That's great! What is he doing?</s>		That sounds like you are excited for sure! When is he coming and what are yall going to do?</s>
Queue jumping is something which irks me no end. I was at the deli counter of my local store recently and some guy came up and started ordering. The employee served him, too.</s> It's quite disheartening to know people jump queues</s> Yes. And I'm disabled and it's hard to stand for a long time while some idiot gets his lunch. I hope it was horrible!</s>		<pad> I'm sorry to hear that. I hope you don't have to wait too long.</s>		I believe he will pay somehow. They call it karma :)</s>
I really like every shelf in my house to be arranged just so.</s> I feel you! Do you have everything facing the right way?</s> I do, everything is in it's place. It thoroughly bothers me when someone puts random stuff on them, like cups or papers.</s>		<pad> I'm sure you will be fine.</s>		Oh well, it happens though, don't be too hard on people!</s>
My husband shocked me the other day</s> Why did he do that?</s> He threw me a surprise party and jumped out at me scaring me half to death!</s>		<pad> Oh no! I'm sorry to hear that.</s>		Oh my, did you have a good time?</s>
I found out yesterday that I have a nest of yellow jacket bees in my front yard. They can be so aggressive.</s>		<pad> I bet you are scared.</s>		I hate bees and wasps so much. Maybe you should call pest control?</s>
My husband has been putting in so many extra hours at work</s>		<pad> That is great. I am sure he will be able to do better.</s>		I am sure hes doing it to take care of you guys and I am sure you are pampering him too for doing it.</s>
Ten years ago now, a massive hurricane forced my family to evacuate. I didn't know if there would be anything to come back to.</s>		<pad> That's scary. I hope you're okay.</s>		That's awful, but better safe than sorry. How were things when you came back?</s>
I am visiting my friend this week.</s>		<pad> Oh wow, that's awesome!</s>		Oh cool, where does your friend live? Is it an exciting location?</s>
I was out photographing butterflies and took the most incredible photo. I am really happy with how it turned out!</s>		<pad> That's great! What did you photograph?</s>		I love butterflies because of the colors. What color was the butterfly?</s>
I was able to go back home to my parents for a few weeks recently. It was wonderful to relax in my childhood home.</s>		<pad> That's great. I hope you had a great time.</s>		It's always nice to visit home. Did your parents enjoy your visit?</s>
My dog chewed up one of my flip flops the other day. Now I have to throw them out.</s> UGH my dog has destroyed all of my favorite shoes.</s> This is the first one she tore up. My roommate was watching her while I was out of town. I'm sorry about your shoes.</s>		<pad> I'm sorry to hear that. I hope you are okay.</s>		I dont really like dogs for that reason. They are fun to pet but taking care of them is a chore.</s>
Wow, that is an amazing accomplishment! Congratulations! You gotta be feeling like you're on top of the world after that!</s> Ah, it was the best! Plus it helped that I purposely chose an amazing destination in which to run it -- it was the Venice Marathon!</s> My first thought was "California" but then there's Venice [Italy] and then either way, that's an amazing destination!</s> We were living overseas at the times -- the most impressive part was crossing the Grand Canal over a pontoon of boats to finish the marathon ;-)</s>		<pad> That is great! I'm glad you did it!</s>		Oh, wow. Not only to be able to do all the running but to view the scenery!</s>
I feel happy when I am outside in nature</s>		<pad> I love nature.</s>		That's wonderful! I do too. I don't take it for granted because I've been battling Lupus for 13 years and in bed a lot. Its an amazing world we have! What is on of your favorite things to do outside?</s>
So I asked out a girl in my class and she said yes. Was a big morale boost.</s>		<pad> That's great. I'm glad you got a chance to ask out a girl.</s>		im glad to hear that!</s>
I'm moving into a new apartment soon. I do hope that the neighbors are nice and quiet.</s> That's always both an exciting time and a nerve-wracking time. I'm in college and I had to move the past two years in a row. This year, I decided I kinda had enough and would just stay put, even though the apartment was just so-so. Do you like it well enough even if the neighbors may give you trouble?</s> Not really, but my current upstairs neighbors are awful and I feel it'd be worth moving just to get away from them!</s>		<pad> That's great. I hope you have a great time.</s>		Oh yeah, I know the type. Where they sound like they're having a parade at 3AM. Sorry you had to go through that. Luckily (or unluckily, if you want to see it that way) I have a loud window AC unit in my apartment, so even if they did make noise, I couldn't hear them over it!</s>
I won a prize at an event in my college and felt very happy, proud</s>		<pad> Congratulations! What event was it?</s>		Oh cool! How did you win it?</s>
When my brother got out of college he had a job and a car and was doing so fucking great for himself. Everything was lined up and he was ready to take off in the world. The moment I graduated college I have nothing that I can do. I took the same degree but that 5 year gap has led me to have nothing compared to him. It was so fucking annoying</s> Man, that's gotta be a horrible feeling. I think it would help if you try not to compare yourself to others.</s> I do my best but sometimes that's super hard. I guess that's just one of those things everyone got to deal with.</s>		<pad> I'm sorry to hear that. I hope you are doing well.</s>		I hope things turn out better for you. Keep fighting.</s>
We have a family reunion planned for next week. I am really looking forward to catching up with everyone, especially my brother and sister.</s>		<pad> I hope you have a great time.</s>		Yes, that will be awesome! How long has it been since you've seen everyone?</s>
My family is still hasn't recovered from the untimely passing of my father two years ago.</s>		<pad> I am sorry to hear that. I hope you are able to recover from the loss.</s>		I am so sorry to hear that. It can't be easy for you and your family.</s>
I'm so proud of my wife</s> i bet she's a wonderful woman</s> She really is</s>		<pad> I bet she is.</s>		hold on to her</s>
It was my birthday and My friend sent me a birthday card with a gift card in a mail... i never got it, somebody stole it! and we actually have a cluster mailbox so only i can open it. it means that usps worker stole it</s> Have you tried speaking with the post office?</s> i did, the lady told me they can't do anything about it because it didn't have a tracking number.</s>		<pad> I'm sorry to hear that. I hope you get it back.</s>		That's ridiculous, they should have to do something.</s>
When i was younger, I came back to the house with my family to find our family pet dead.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Oh no, I'm so sorry to hear that. Did you ever figure out what happened?</s>
I feel like a terrible sibling right now.</s> What did you do to feel that way?</s> My sister, who lives out of state and i don't see often, was recently in town visiting our dad. I didn't visit with them.</s>		<pad> I'm sorry to hear that. I hope you feel better soon.</s>		I'm sorry to hear that, you could make it up to them by going to visit?</s>
I get excited when I go swimming</s> What is exciting to you about swimming?</s> The fact of relaxing in a large pool of water. It just grabs my attention</s>		<pad> I love swimming. I love the feeling of being in a pool.</s>		So you prefer a pool to an ocean?</s>
The key to making good chicken and rice, is following the recipe precisely</s>		<pad> That's great! What is the recipe for?</s>		How do you make it?</s>
Last night I heard a weird noise outside. It really scared my wife and I.</s> Oh, I hate it when that happens. Did you find out what it was?</s> It ended up just being a raccoon rummaging through our trash. But at the time we thought it was someone trying to break in.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		I'm glad it wasn't something dangerous. That would be a terrifying experience.</s>
Today I realized that my daughter sings wonderful, I enjoy it a lot... I was impressed</s>		<pad> That's great! I'm glad you like it!</s>		thats adorable how old is she?</s>
I'm so happy that it is Friday!</s> Oh me too! Do you have a monday to Friday type job?</s> Somewhat, I work 4 10 hour shifts and have a random off day during the week. Yesterday was my off day. What about you?</s>		<pad> I'm sure you will be fine.</s>		Oh that is a pretty good schedule. I am a teacher so I'm off right now. It's wonderful.</s>
My dog tried to eat her poo</s> That is pretty disgusting! Did it look like poo coming out again?</s> It probably will.</s>		<pad> I bet! I'm sure she will be fine.</s>		I can imagine. Maybe it'll morph into a Super Saiyan poo or something.</s>
Hello, I think I will not forget the beauty of her hair, the sweetness of her lips and the clarity of her eyes</s> So...what happened to her</s> she died... my mother</s>		<pad> I am sorry to hear that.</s>		In real life? Or are you making this up</s>
Last night I heard a weird noise outside. It really scared my wife and I.</s>		<pad> Oh no! That sounds like a lot of noise.</s>		Oh, I hate it when that happens. Did you find out what it was?</s>
i got in a car accident 2 months ago and now i get so anxious every time i need to drive somewhere</s>		<pad> That's scary. I hope you don't get hurt.</s>		I'm sorry for that. Have you tried going to therapy?</s>
I am obsessive about being ready for anything</s>		<pad> That's great! What are you most excited about?</s>		Oh really? Are you afraid of missing out on something?</s>
You wanna know why I'm not worried about nuclear armageddon? Because I bought a school desk at one of the district auctions, and all I have to do is duck and cover and nuclear fire won't touch me.</s> lol! I remember those drills when I was a kid!</s> Ahh, then you know exactly what I mean. I don't see a single thing wrong with my plan. I'm not sure why everyone is so worried about North Korea or Iran or Russia or something when it's just like...get a school desk. It's not hard, people.</s>		<pad> I'm glad you got one!</s>		And your largest hardback book will protect you from a tornado as long as you put it over your head and sit in the hall!!</s>
My roommate has been gone all week. I don't have anything to do without him here.</s> what about doing something you enjoy?</s> It's just not the same doing something by myself. I don't have anyone to go do stuff with.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		i know it can be tough but maybe trying something new or outside your comfort zone might give you an enjoyable experience</s>
I was disgusted when I noticed the food on the table</s> What kind of food?</s> It was brussel sprouts and Liver</s>		<pad> I'm sorry to hear that.</s>		Oh, disgusting.</s>
I exams went really well this year, How has your year gone?</s>		<pad> I hope you have a great year!</s>		Good for you!. My year have been ok too so far.</s>
Hey, I just started the keto diet!</s> Good for you! I have heard many great things about keto. How are you finding it?</s> It's good so far. I was overwhelmed at first, but I rented some books from the library and got a Kindle Unlimited subscription to find some recipes and info.</s>		<pad> I'm glad you're doing well.</s>		Props to you for researching the diet without understanding how it works. Some people are just looking for ways to lose weight fast, but putting in effort goes a long way.</s>
I live in Central Texas, it rained and lightening stuck a house here and caused it to burn down!</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Oh no, that sounds scary</s>
My daughter and her family were on their way from ohio to visit us.</s>		<pad> Oh wow, that's so nice of you.</s>		Oh, that must be exciting! I bet you were busy making preparations.</s>
I can't believe someone half my age got promoted instead of me!</s> Well,it can happen like that atimes</s> Have you ever missed out on a promotion?</s>		<pad> I'm sorry to hear that.</s>		Yes,it really hurts</s>
My childhood friend gave me a watch for by birthday a few years ago, I lost it in a move recently. I'm pretty upset by it.</s>		<pad> Oh no! I'm sorry to hear that. I hope you get it back.</s>		Oh no! It always seems like things get lost when you move doesn't it? Is there anyway you can go back and see if its at your old place?</s>
My and some old friends from college recently got together. It's always great to see those guys again.</s> I bet it is! I love getting together with friends, especially if it has been a while...which it seems to be the older I get.</s> Same. And all these guys live in different places now so it's harder and harder to get everyone together.</s>		<pad> I'm sure it will be fun.</s>		I bet it would be tough. Was there a special occasion that brought you all together?</s>
There was an elderly lady at my church who was blind and could not hear well so you had to talk really loud for her to hear you. She was very faithful about coming to church so our preacher picked her up and took her home for every service. When she needed help, we took turns helping her.</s>		<pad> That's great. I hope she gets better soon.</s>		That is so nice of you all! I know she appreciates it.</s>
I recently bought a new car after not driving for several years and I was really scared to drive it, especially on the highway.</s>		<pad> That's great. Did you drive it?</s>		What car did you buy?</s>
I just bought iced coffee yesterday and my brother drank the rest of it without asking me.</s> Wow. Does he usually do stuff like that?</s> Yeah, he will eat or drink whatever he finds in the fridge.</s>		<pad> That's great. I hope he doesn't mind.</s>		Damn well, he's gonna have to learn some boundaries with that.</s>
After months of job searching, I finally got a good offer</s>		<pad> That's great! What kind of job did you get?</s>		What kind of job did you get?</s>
I remember being in Scotland and arranging a trip to California to see my then boyfriend. I was so very happy to be seeing him again!</s> I bet! Is it hard to have a long distance relationship?</s> Very hard and this was before the days of smartphones and FaceTime. We spent a fortune on telephone calls. But it was so worth it to speak to each other and I was lucky I could afford to fly out to see him.</s>		<pad> I bet! I'm glad you got to see him again!</s>		I can only image how hard that was before the days of smartphones! I'm glad you were able to visit him!</s>
I saw a dog get hit by car today on the highway.</s>		<pad> Oh no! Did you get hurt?</s>		Oh no!!! Did you see what happened to the dog?!</s>
I expected the new incredibles to be pretty bad but to my pleasure it came out good.</s> I also saw it and felt like it was pretty good. Much better than the My Little Pony Movie. That was TORTURE.</s> Oh I can't imagine. I don't think I would pay more than a quarter to see that movie.</s>		<pad> I'm glad you enjoyed it.</s>		Yeah it was so boring. Even my kids got bored and they had been dying to see it,</s>
Starbucks always get's my order wrong!</s> I like Starbucks. But they're a little expensive for me to go there often.</s> They definitely are expensive. What's your favourite drink to get?</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		A latte.</s>
I was at the park today and almost stepped on a rattle snake. I almost jumped out of my skin.</s> That sounds terrifying, so glad you did not step on it</s> Me too, that would of wrecked my day. It was so close! It haunts my thoughts even now.</s>		<pad> I'm sorry to hear that. I hope you don't get hurt.</s>		I can imagine I would have nightmares about that</s>
my horse died last week i was devastated when i found out</s>		<pad> I am sorry to hear that. I hope you are ok.</s>		Oh no! Do you know why?</s>
I live alone. Sometimes it can be hard with nobody around.</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		That must feel lonely. You should go out and try to meet some people!</s>
It makes me angry when people never notice me</s>		<pad> I am sorry to hear that.</s>		Why what is it that you want them to notice about you that they bypass.</s>
I got angry when she refused. But I should've been more understanding</s> Yes, you only hurt yourself when you get angry.</s> I shouldn't have forced the issue and so I promised never to ask again</s>		<pad> I'm sorry to hear that.</s>		Give it some time, maybe she'll change her mind.</s>
My friend's baby has grown so much since the last time I had seen her!</s> It's crazy how quickly kiddos grow! Even in a few weeks time! Do you see your friend and her baby often?</s> It had been about 8 weeks - I don't get out her way often, even though we live 30 minutes away.</s>		<pad> I am sure she will be fine!</s>		That is how life goes! Different schedules and demands -- I'm sure she's so thrilled when she *does* get to see you!</s>
You know when you see the perfect house to rent and someone beats you to it? That happened to me recently - the owners rented it out the night before I was to see it :(</s> Oh man that is really annoying! Have you found another one you like yet?</s> Yes, but it's an apartment and this place was a lovely quiet 3 bed/2 bath place in a lovely neighborhood. Such a bummer!</s>		<pad> That is a shame. I hope you find a new place to live in.</s>		Oh man I would be so upset. I totally understand! I hope you will be able to enjoy your new place</s>
My wife went out of the country for a couple months at the beginning of the summer, dropping her off at the airport was really tough.</s>		<pad> That's tough. I hope she gets back soon.</s>		It must have been! Have you guys been apart before?</s>
I am looking forward to going on vacation in a few weeks! We have a condo reserved on the beach, with fantastic ocean views. I'm ready!</s>		<pad> I'm sure you will enjoy it!</s>		Ah, that sounds fantastic! Which ocean will you be enjoying?</s>
I was really upset when my daughter went into labor and I couldn't be there.</s>		<pad> Oh no! What happened?</s>		I'm so sorry but what a joyous occasion.</s>
My boyfriend's cat wakes me up every morning at 4 AM.</s>		<pad> That's terrible. I'm sorry to hear that.</s>		That must be annoying for you, but I love cats.</s>
I don't feel bad. It's not like I made her do it. She wanted to</s> What happened!</s> She knew what she was doing. I don't care how old she was. She knew</s>		<pad> I'm sorry to hear that. I hope she doesn't feel bad.</s>		This somehow seems inappropriate.</s>
When my parents got divorced when I was a kid, it was one of the hardest things for me.</s>		<pad> That's so sad. I'm sorry to hear that.</s>		I understand your pain. My parents are also separated.</s>
I am feeling bad because my grandchild wants me to play all the time but I have to work a lot.</s>		<pad> That is so sad. I hope you are feeling better soon.</s>		I know how you feel. I'm working right now :(</s>
I didn't see my parents since 2014! They live in a different country. I'm finally going to see them next week and I Just CAN'T wait!!</s>		<pad> I'm so excited! I'm so excited for you!</s>		That will be an amazing trip!!</s>
Even though I'm a christian and I serve God to the best of my abilities, I have been in a rut lately. Last week, during revival, for the first few nights, everyone was praising and participating in worship and just really feeling the Spirit, but I couldn't for whatever reason, and it made me feel bad.</s> Oh, I know what you mean. I have felt that way. Best thing to do is pray about it and don't be hard on yourself.</s> Yes, I prayed about it multiple times, and by the last night, I was able to feel the Spirit move and I was able to praise and worship too. It felt amazing and it carried over into both services on Sunday too.</s>		<pad> That's great. I hope you feel better soon.</s>		That's amazing! I'm so happy your prayers were answered. God knows your heart.</s>
I recently bid farewell to a good friend. I miss her</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		I am sorry for your loss. I hope you can find comfort during this difficult time.</s>
I have to rely on my prayers and my belief in a high power to get me through not having a job and no money.</s>		<pad> That is so true. I hope you are able to find a job soon.</s>		Things work out. It doesn't seem like it but they do.</s>
So we are waiting on some news to move. I feel like it will be this week that we find out.</s> Where to?</s> Not sure yet, waiting to find all of that out. I hate waiting though.</s>		<pad> I hate waiting. I'm sure it will be a long time before we find out.</s>		Me too. Well I hope it is to somewhere that you like.</s>
my little boy learned how to count to ten eeven know he is super young</s> ohhh cute!! i am so happy for you, smart boy!</s> yeah i was so proud of him as well i thought i would have to wait months till he got to that point</s>		<pad> That is so cool!</s>		a rare one, i hope he goes a long way and maybe even be the next Einstein we need</s>
I have a big exam for college coming up, I have been studying day and night.</s>		<pad> I am sure you will be fine.</s>		What's the exam on?</s>
I was digging through some old stuff I had and I found letters that my wife wrote me when we were still dating. They were so sweet.</s>		<pad> I bet that was a great find.</s>		Aww. Thats nnice</s>
I took my daughter out to the skate park today.</s> how did that go</s> Awesome! She went down the big ramp today for the first time. It was so cool.</s>		<pad> That is so cool. I hope she enjoys it.</s>		oh thats awesome.. congrats</s>
My son was just born, my first boy after 11 girls!</s> Thats amazing, congratulations. 12 Kids your amazing.</s> It's easier if you had 12 different baby mamas, that's my trick anyway. This last labour was 6 hours long!</s>		<pad> That's great, I hope you have a great baby boy.</s>		Haha, your a player.</s>
I had a meeting with my bosses the other day to discuss finally getting a promotion.</s>		<pad> That's great. I hope you get a promotion soon.</s>		How long did it take you to get your promotion?</s>
My dog puked all over the carpet a few weeks back.</s>		<pad> That's terrible. Did you have to take him to the vet?</s>		Oh nasty! That must have been a heck of a pain to clean.</s>
I let a friend watch my dog for a week while I was out of town. I would've been devastated if anything happened to him.</s> trust your god feeling, everything will be alright</s> I hope so. I've only had my dog for a short time and this is my first time away from him.</s>		<pad> I hope so. I hope he is okay.</s>		Did you buy all the essential items the dog will need?</s>
Last week I was at the grocery store picking up body wash. There were so many to chose from, but I couldn't help but buy my trusted brand that has served me well for so many years.</s>		<pad> That's great! I've been using it for years.</s>		You gotta stick with what you know sometimes.</s>
I have a really big meeting next week. I have rehearsed what I am to go over all this past week and plan to practice a little more this weekend.</s>		<pad> That is great! I hope you have a great meeting.</s>		Wow! What kind of meeting is it?</s>
Everyone in my family laughs at me b/c I am super organized and I like routine in my life</s> Nothing wrong with that. I'm definitely with you on the organizational front. I bet they're not laughing when you get them out of a jam!</s> Exactly! I always joke that I use to be a boyscout b/c their motto is "Always be prepared"</s>		<pad> I'm sure they're too! I'm sure they'll laugh at you!</s>		It drives me nuts when people are disorganized. My husband is hopeless - I could throttle him sometimes!</s>
We went on vacation and the kids stayed home. I couldn't believe it when I walked in the door and the house was totally clean.</s> Lol! I thought you were going to say MESSY! Good kids!</s> Wonders never cease to amaze me. First time for everything I guess, lol</s>		<pad> I bet you were pleasantly surprised.</s>		So true! Maybe they want something or they did something bad and are hiding it lol</s>
my son behaved badly with his friend, I treat him badly, I had to punish him</s>		<pad> I'm sorry to hear that. What did he do?</s>		Oh no. How old is he?</s>
she took me for $1600 in just 2 weeks. What a trap</s> Unbelievable. You must be very angry with her (whoever she is).</s> It's been 7 years and I'm still not over it</s>		<pad> I'm sorry to hear that. I hope you get over it.</s>		Neither would I, I dislike such greedy people</s>
Many years ago, we were at a friend's house and one of her friend's was there and she was drunk. My husband was very insistent on helping her, but I felt he was being a bit to 'helpful'. It made me a bit angry!</s>		<pad> That is so sad. I hope you find a way to help her.</s>		Wow. Do think he had bad intentions?</s>
My daughter caught me in a bad mood the other day and was being a bit argumentative. I lost my temper, yelled and really hurt her feelings. I felt bad that it happened.</s> Oh that sucks. Those are the types of situations where you can't help it, but you know you did wrong the second after it's over.</s> Yes, I was already not in a good mood, and then it seemed like she just pushed the right button. But, I knew I shouldn't have done it as soon as I saw the look in her eyes, I felt very bad.</s>		<pad> I'm sorry to hear that. I hope you don't get hurt.</s>		Well, there aren't any rules against apologizing to your kids?</s>
I recently started putting part of my paychecks into a savings account. I have almost $1000 now.</s>		<pad> That's great! How much do you have?</s>		Keep it up. Soon you'll have enough money to buy a new house.</s>
